分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
英雄对决纪念币,英雄对决纪念币II,1000,,600,,,,240,,,,,,,,,,,,,,,,,
英雄对决纪念币,英雄对决纪念币III,1000,,,,,,,24,24,,,,,,,,,,,,,,,
英雄对决纪念币,套装属性,,2400,2400,,,360,360,,,20,20,,,,,,,,,,,,,
英雄对决传说纪念币,英雄对决传说纪念币I,3000,1200,600,,,120,120,,,,,,,,,,,,,,,,,
英雄对决传说纪念币,英雄对决传说纪念币II,5000,3600,1200,,,360,360,,,,,,,,,,,,,,,,,
英雄对决传说纪念币,英雄对决传说纪念币III,10000,7200,2400,,,720,720,,,,,,,,,,,,,,,,,
英雄对决传说纪念币,英雄对决传说纪念币IV,30000,,,,,2400,2400,,,,,,1,,,,,,,,,,,
英雄对决传说纪念币,套装属性,,14000,14000,60,60,,,50,50,50,50,,,,,,,,,,,,,
月宫纪念币,月宫纪念币I,1000,700,,,,280,,,,,,,,,,,,,,,,,,
月宫纪念币,月宫纪念币II,1000,,700,,,,280,,,,,,,,,,,,,,,,,
月宫纪念币,月宫纪念币III,1000,,,,,,,24,24,,,,,,,,,,,,,,,
月宫纪念币,套装属性,,2800,2800,,,400,400,,,20,20,,,,,,,,,,,,,
月宫传说纪念币,月宫传说纪念币I,3000,1400,700,,,150,150,,,,,,,,,,,,,,,,,
月宫传说纪念币,月宫传说纪念币II,5000,4000,1600,,,400,400,,,,,,,,,,,,,,,,,
月宫传说纪念币,月宫传说纪念币III,10000,8500,2800,,,800,800,,,,,,,,,,,,,,,,,
月宫传说纪念币,月宫传说纪念币IV,30000,,,,,2800,2800,,,,,,1,,,,,,,,,,,
月宫传说纪念币,套装属性,,14000,14000,60,60,,,50,50,50,50,,,,,,,,,,,,,
风车纪念币,风车纪念币I,1000,820,,,,320,,,,,,,,,,,,,,,,,,
风车纪念币,风车纪念币II,1000,,820,,,,320,,,,,,,,,,,,,,,,,
风车纪念币,风车纪念币III,1000,,,,,,,24,24,,,,,,,,,,,,,,,
风车纪念币,套装属性,,3200,3200,,,480,480,,,20,20,,,,,,,,,,,,,
风车传说纪念币,风车传说纪念币I,3000,1600,820,,,180,180,,,,,,,,,,,,,,,,,
风车传说纪念币,风车传说纪念币II,5000,4800,1900,,,480,480,,,,,,,,,,,,,,,,,
风车传说纪念币,风车传说纪念币III,10000,10000,3000,,,960,960,,,,,,,,,,,,,,,,,
风车传说纪念币,风车传说纪念币IV,30000,,,,,3200,3200,,,,,,1,,,,,,,,,,,
风车传说纪念币,套装属性,,16000,16000,70,70,,,50,50,50,50,,,,,,,,,,,,,
进化纪念币,进化纪念币I,1000,820,,,,320,,,,,,,,,,,,,,,,,,
进化纪念币,进化纪念币II,1000,,820,,,,320,,,,,,,,,,,,,,,,,
进化纪念币,进化纪念币III,1000,,,,,,,24,24,,,,,,,,,,,,,,,
进化纪念币,套装属性,,3200,3200,,,480,480,,,20,20,,,,,,,,,,,,,
自然选择纪念币,自然选择纪念币I,3000,1600,820,,,180,180,,,,,,,,,,,,,,,,,
自然选择纪念币,自然选择纪念币II,5000,4800,1900,,,480,480,,,,,,,,,,,,,,,,,
自然选择纪念币,自然选择纪念币III,10000,10000,3000,,,960,960,,,,,,,,,,,,,,,,,
自然选择纪念币,自然选择纪念币IV,30000,,,,,3200,3200,,,,,,1,,,,,,,,,,,
自然选择纪念币,套装属性,,16000,16000,70,70,,,50,50,50,50,,,,,,,,,,,,,
青竹纪念币,青竹纪念币I,1000,820,,,,320,,,,,,,,,,,,,,,,,,
青竹纪念币,青竹纪念币II,1000,,820,,,,320,,,,,,,,,,,,,,,,,
青竹纪念币,青竹纪念币III,1000,,,,,,,24,24,,,,,,,,,,,,,,,
青竹纪念币,套装属性,,3200,3200,,,480,480,,,20,20,,,,,,,,,,,,,
夏至纪念币,夏至纪念币I,3000,1600,820,,,180,180,,,,,,,,,,,,,,,,,
夏至纪念币,夏至纪念币II,5000,4800,1900,,,480,480,,,,,,,,,,,,,,,,,
夏至纪念币,夏至纪念币III,10000,10000,3000,,,960,960,,,,,,,,,,,,,,,,,
夏至纪念币,夏至纪念币IV,30000,,,,,3200,3200,,,,,,1,,,,,,,,,,,
夏至纪念币,套装属性,,16000,16000,70,70,,,50,50,50,50,,,,,,,,,,,,,
驱邪纪念币,驱邪纪念币I,1000,820,,,,320,,,,,,,,,,,,,,,,,,
驱邪纪念币,驱邪纪念币II,1000,,820,,,,320,,,,,,,,,,,,,,,,,
驱邪纪念币,驱邪纪念币III,1000,,,,,,,24,24,,,,,,,,,,,,,,,
驱邪纪念币,套装属性,,3200,3200,,,480,480,,,20,20,,,,,,,,,,,,,
降魔纪念币,降魔纪念币I,3000,1600,820,,,180,180,,,,,,,,,,,,,,,,,
降魔纪念币,降魔纪念币II,5000,4800,1900,,,480,480,,,,,,,,,,,,,,,,,
降魔纪念币,降魔纪念币III,10000,10000,3000,,,960,960,,,,,,,,,,,,,,,,,
降魔纪念币,降魔纪念币IV,30000,,,,,3200,3200,,,,,,1,,,,,,,,,,,
降魔纪念币,套装属性,,16000,16000,70,70,,,50,50,50,50,,,,,,,,,,,,,
天神纪念币,天神纪念币I,1000,820,,,,320,,,,,,,,,,,,,,,,,,
天神纪念币,天神纪念币II,1000,,820,,,,320,,,,,,,,,,,,,,,,,
天神纪念币,天神纪念币III,1000,,,,,,,24,24,,,,,,,,,,,,,,,
天神纪念币,套装属性,,3200,3200,,,480,480,,,20,20,,,,,,,,,,,,,
庆典纪念币,庆典纪念币I,3000,1600,820,,,180,180,,,,,,,,,,,,,,,,,
庆典纪念币,庆典纪念币II,5000,4800,1900,,,480,480,,,,,,,,,,,,,,,,,
庆典纪念币,庆典纪念币III,10000,10000,3000,,,960,960,,,,,,,,,,,,,,,,,
庆典纪念币,庆典纪念币IV,30000,,,,,3200,3200,,,,,,1,,,,,,,,,,,
庆典纪念币,套装属性,,16000,16000,70,70,,,50,50,50,50,,,,,,,,,,,,,
龙腾纪念币,龙腾纪念币I,1000,940,,,,480,,,,,,,,,,,,,,,,,,
龙腾纪念币,龙腾纪念币II,1000,,940,,,,480,,,,,,,,,,,,,,,,,
龙腾纪念币,龙腾纪念币III,1000,,,,,,,30,30,,,,,,,,,,,,,,,
龙腾纪念币,套装属性,,3520,3520,,,540,540,,,25,25,,,,,,,,,,,,,
启始纪念币,启始纪念币I,3000,1760,940,,,200,200,,,,,,,,,,,,,,,,,
启始纪念币,启始纪念币II,5000,6000,2000,,,540,540,,,,,,,,,,,,,,,,,
启始纪念币,启始纪念币III,10000,11000,3300,,,1180,1180,,,,,,,,,,,,,,,,,
启始纪念币,启始纪念币IV,30000,,,,,3520,3520,,,,,,1,,,,,,,,,,,
启始纪念币,套装属性,,18500,18500,85,85,,,60,60,55,55,,,,,,,,,,,,,
纸鸢纪念币,纸鸢纪念币I,1000,940,,,,480,,,,,,,,,,,,,,,,,,
纸鸢纪念币,纸鸢纪念币II,1000,,940,,,,480,,,,,,,,,,,,,,,,,
纸鸢纪念币,纸鸢纪念币III,1000,,,,,,,30,30,,,,,,,,,,,,,,,
纸鸢纪念币,套装属性,,3520,3520,,,540,540,,,25,25,,,,,,,,,,,,,
惊蛰纪念币,惊蛰纪念币I,3000,1760,940,,,200,200,,,,,,,,,,,,,,,,,
惊蛰纪念币,惊蛰纪念币II,5000,6000,2000,,,540,540,,,,,,,,,,,,,,,,,
惊蛰纪念币,惊蛰纪念币III,10000,11000,3300,,,1180,1180,,,,,,,,,,,,,,,,,
惊蛰纪念币,惊蛰纪念币IV,30000,,,,,3520,3520,,,,,,1,,,,,,,,,,,
惊蛰纪念币,套装属性,,18500,18500,85,85,,,60,60,55,55,,,,,,,,,,,,,
卫星纪念币,卫星纪念币I,1000,940,,,,480,,,,,,,,,,,,,,,,,,
卫星纪念币,卫星纪念币II,1000,,940,,,,480,,,,,,,,,,,,,,,,,
卫星纪念币,卫星纪念币III,1000,,,,,,,30,30,,,,,,,,,,,,,,,
卫星纪念币,套装属性,,3520,3520,,,540,540,,,25,25,,,,,,,,,,,,,
空天纪念币,空天纪念币I,3000,1760,940,,,200,200,,,,,,,,,,,,,,,,,
空天纪念币,空天纪念币II,5000,6000,2000,,,540,540,,,,,,,,,,,,,,,,,
空天纪念币,空天纪念币III,10000,11000,3300,,,1180,1180,,,,,,,,,,,,,,,,,
空天纪念币,空天纪念币IV,30000,,,,,3520,3520,,,,,,1,,,,,,,,,,,
空天纪念币,套装属性,,18500,18500,85,85,,,60,60,55,55,,,,,,,,,,,,,
风雨纪念币,风雨纪念币I,1000,940,,,,480,,,,,,,,,,,,,,,,,,
风雨纪念币,风雨纪念币II,1000,,940,,,,480,,,,,,,,,,,,,,,,,
风雨纪念币,风雨纪念币III,1000,,,,,,,30,30,,,,,,,,,,,,,,,
风雨纪念币,套装属性,,3520,3520,,,540,540,,,25,25,,,,,,,,,,,,,
端阳纪念币,端阳纪念币I,3000,1760,940,,,200,200,,,,,,,,,,,,,,,,,
端阳纪念币,端阳纪念币II,5000,6000,2000,,,540,540,,,,,,,,,,,,,,,,,
端阳纪念币,端阳纪念币III,10000,11000,3300,,,1180,1180,,,,,,,,,,,,,,,,,
端阳纪念币,端阳纪念币IV,30000,,,,,3520,3520,,,,,,1,,,,,,,,,,,
端阳纪念币,套装属性,,18500,18500,85,85,,,60,60,55,55,,,,,,,,,,,,,
联盟纪念币,联盟纪念币I,1000,940,,,,480,,,,,,,,,,,,,,,,,,
联盟纪念币,联盟纪念币II,1000,,940,,,,480,,,,,,,,,,,,,,,,,
联盟纪念币,联盟纪念币III,1000,,,,,,,30,30,,,,,,,,,,,,,,,
联盟纪念币,套装属性,,3520,3520,,,540,540,,,25,25,,,,,,,,,,,,,
猎杀纪念币,猎杀纪念币I,3000,1760,940,,,200,200,,,,,,,,,,,,,,,,,
猎杀纪念币,猎杀纪念币II,5000,6000,2000,,,540,540,,,,,,,,,,,,,,,,,
猎杀纪念币,猎杀纪念币III,10000,11000,3300,,,1180,1180,,,,,,,,,,,,,,,,,
猎杀纪念币,猎杀纪念币IV,30000,,,,,3520,3520,,,,,,1,,,,,,,,,,,
猎杀纪念币,套装属性,,18500,18500,85,85,,,60,60,55,55,,,,,,,,,,,,,
贪婪纪念币,贪婪纪念币I,1000,940,,,,480,,,,,,,,,,,,,,,,,,
贪婪纪念币,贪婪纪念币II,1000,,940,,,,480,,,,,,,,,,,,,,,,,
贪婪纪念币,贪婪纪念币III,1000,,,,,,,30,30,,,,,,,,,,,,,,,
贪婪纪念币,套装属性,,3520,3520,,,540,540,,,25,25,,,,,,,,,,,,,
祭坛纪念币,祭坛纪念币I,3000,1760,940,,,200,200,,,,,,,,,,,,,,,,,
祭坛纪念币,祭坛纪念币II,5000,6000,2000,,,540,540,,,,,,,,,,,,,,,,,
祭坛纪念币,祭坛纪念币III,10000,11000,3300,,,1180,1180,,,,,,,,,,,,,,,,,
祭坛纪念币,祭坛纪念币IV,30000,,,,,3520,3520,,,,,,1,,,,,,,,,,,
祭坛纪念币,套装属性,,18500,18500,85,85,,,60,60,55,55,,,,,,,,,,,,,
周年白银纪念币,周年白银纪念币I,1000,940,,,,480,,,,,,,,,,,,,,,,,,
周年白银纪念币,周年白银纪念币II,1000,,940,,,,480,,,,,,,,,,,,,,,,,
周年白银纪念币,周年白银纪念币III,1000,,,,,,,30,30,,,,,,,,,,,,,,,
周年白银纪念币,套装属性,,3520,3520,,,540,540,,,25,25,,,,,,,,,,,,,
周年黄金纪念币,周年黄金纪念币I,3000,1760,940,,,200,200,,,,,,,,,,,,,,,,,
周年黄金纪念币,周年黄金纪念币II,5000,6000,2000,,,540,540,,,,,,,,,,,,,,,,,
周年黄金纪念币,周年黄金纪念币III,10000,11000,3300,,,1180,1180,,,,,,,,,,,,,,,,,
周年黄金纪念币,周年黄金纪念币IV,30000,,,,,3520,3520,,,,,,1,,,,,,,,,,,
周年黄金纪念币,套装属性,,18500,18500,85,85,,,60,60,55,55,,,,,,,,,,,,,
万象更新白银纪念币,万象更新白银纪念币I,1000,1080,,,,560,,,,,,,,,,,,,,,,,,
万象更新白银纪念币,万象更新白银纪念币II,1000,,1080,,,,560,,,,,,,,,,,,,,,,,
万象更新白银纪念币,万象更新白银纪念币III,1000,,,,,,,40,40,,,,,,,,,,,,,,,
万象更新白银纪念币,套装属性,,4000,4000,,,600,600,,,30,30,,,,,,,,,,,,,
万象更新黄金纪念币,万象更新黄金纪念币I,3000,2000,1000,,,300,300,,,,,,,,,,,,,,,,,
万象更新黄金纪念币,万象更新黄金纪念币II,5000,8000,4000,,,820,820,,,,,,,,,,,,,,,,,
万象更新黄金纪念币,万象更新黄金纪念币III,10000,13200,4000,,,1320,1320,,,,,,,,,,,,,,,,,
万象更新黄金纪念币,万象更新黄金纪念币IV,30000,,,,,4000,4000,,,,,,1,,,,,,,,,,,
万象更新黄金纪念币,套装属性,,20000,20000,100,100,,80,80,,80,80,,,,,,,,,,,,,
星际漫游白银纪念币,星际漫游白银纪念币I,1000,1080,,,,560,,,,,,,,,,,,,,,,,,
星际漫游白银纪念币,星际漫游白银纪念币II,1000,,1080,,,,560,,,,,,,,,,,,,,,,,
星际漫游白银纪念币,星际漫游白银纪念币III,1000,,,,,,,40,40,,,,,,,,,,,,,,,
星际漫游白银纪念币,套装属性,,4000,4000,,,600,600,,,30,30,,,,,,,,,,,,,
星际漫游黄金纪念币,星际漫游黄金纪念币I,3000,2000,1000,,,300,300,,,,,,,,,,,,,,,,,
星际漫游黄金纪念币,星际漫游黄金纪念币II,5000,8000,4000,,,820,820,,,,,,,,,,,,,,,,,
星际漫游黄金纪念币,星际漫游黄金纪念币III,10000,13200,4000,,,1320,1320,,,,,,,,,,,,,,,,,
星际漫游黄金纪念币,星际漫游黄金纪念币IV,30000,,,,,4000,4000,,,,,,1,,,,,,,,,,,
星际漫游黄金纪念币,套装属性,,20000,20000,100,100,,80,80,,80,80,,,,,,,,,,,,,
夏阳酷暑白银纪念币,夏阳酷暑白银纪念币I,1000,1080,,,,560,,,,,,,,,,,,,,,,,,
夏阳酷暑白银纪念币,夏阳酷暑白银纪念币II,1000,,1080,,,,560,,,,,,,,,,,,,,,,,
夏阳酷暑白银纪念币,夏阳酷暑白银纪念币III,1000,,,,,,,40,40,,,,,,,,,,,,,,,
夏阳酷暑白银纪念币,套装属性,,4000,4000,,,600,600,,,30,30,,,,,,,,,,,,,
夏阳酷暑黄金纪念币,夏阳酷暑黄金纪念币I,3000,2000,1000,,,300,300,,,,,,,,,,,,,,,,,
夏阳酷暑黄金纪念币,夏阳酷暑黄金纪念币II,5000,8000,4000,,,820,820,,,,,,,,,,,,,,,,,
夏阳酷暑黄金纪念币,夏阳酷暑黄金纪念币III,10000,13200,4000,,,1320,1320,,,,,,,,,,,,,,,,,
夏阳酷暑黄金纪念币,夏阳酷暑黄金纪念币IV,30000,,,,,4000,4000,,,,,,1,,,,,,,,,,,
夏阳酷暑黄金纪念币,套装属性,,20000,20000,100,100,,80,80,,80,80,,,,,,,,,,,,,
北域雪国白银纪念币,北域雪国白银纪念币I,1000,1080,,,,560,,,,,,,,,,,,,,,,,,
北域雪国白银纪念币,北域雪国白银纪念币II,1000,,1080,,,,560,,,,,,,,,,,,,,,,,
北域雪国白银纪念币,北域雪国白银纪念币III,1000,,,,,,,40,40,,,,,,,,,,,,,,,
北域雪国白银纪念币,套装属性,,4000,4000,,,600,600,,,30,30,,,,,,,,,,,,,
北域雪国黄金纪念币,北域雪国黄金纪念币I,3000,2000,1000,,,300,300,,,,,,,,,,,,,,,,,
北域雪国黄金纪念币,北域雪国黄金纪念币II,5000,8000,4000,,,820,820,,,,,,,,,,,,,,,,,
北域雪国黄金纪念币,北域雪国黄金纪念币III,10000,13200,4000,,,1320,1320,,,,,,,,,,,,,,,,,
北域雪国黄金纪念币,北域雪国黄金纪念币IV,30000,,,,,4000,4000,,,,,,1,,,,,,,,,,,
北域雪国黄金纪念币,套装属性,,20000,20000,100,100,,80,80,,80,80,,,,,,,,,,,,,
VIP11纪念币,VIP11纪念币,50000,,,,,,,,,,,,,,15.0,1.0,,,,,,,,
VIP12纪念币,VIP12纪念币,50000,,,,,,,,,,,,,,15.0,1.0,,,,,,,,
VIP13纪念币,VIP13纪念币,50000,,,,,,,,,,,,,,15.0,1.0,,,,,,,,
VIP14纪念币,VIP14纪念币,50000,,,,,,,,,,,,,,15.0,1.0,,,,,,,,
VIP15纪念币,VIP15纪念币,50000,,,,,,,,,,,,,,15.0,1.0,,,,,,,,
VIP16纪念币,VIP16纪念币,50000,,,,,,,,,,,,,,15.0,1.0,,,,,,,,
VIP17纪念币,VIP17纪念币,50000,,,,,,,,,,,,,,15.0,1.0,,,,,,,,
VIP18纪念币,VIP18纪念币,50000,,,,,,,,,,,,,,15.0,1.0,,,,,,,,
薪火纪念币S,薪火纪念币S1,60000,,,,,,,266,266,266,266,,,,,,,,,,,,,
金秋白银纪念币,金秋白银纪念币I,1000,1080,,,,560,,,,,,,,,,,,,,,,,,
金秋白银纪念币,金秋白银纪念币II,1000,,1080,,,,560,,,,,,,,,,,,,,,,,
金秋白银纪念币,金秋白银纪念币III,1000,,,,,,,40,40,,,,,,,,,,,,,,,
金秋白银纪念币,套装属性,,4000,4000,,,600,600,,,30,30,,,,,,,,,,,,,
金秋黄金纪念币,金秋黄金纪念币I,3000,2000,1000,,,300,300,,,,,,,,,,,,,,,,,
金秋黄金纪念币,金秋黄金纪念币II,5000,8000,4000,,,820,820,,,,,,,,,,,,,,,,,
金秋黄金纪念币,金秋黄金纪念币III,10000,13200,4000,,,1320,1320,,,,,,,,,,,,,,,,,
金秋黄金纪念币,金秋黄金纪念币IV,30000,,,,,4000,4000,,,,,,1,,,,,,,,,,,
金秋黄金纪念币,套装属性,,20000,20000,100,100,,80,80,,80,80,,,,,,,,,,,,,
薪火纪念币S,薪火纪念币S2,60000,,,,,1407,1407,266,266,,,,,,,,,,,,,,,
十二周年白银纪念币,十二周年白银纪念币I,1000,1080,,,,560,,,,,,,,,,,,,,,,,,
十二周年白银纪念币,十二周年白银纪念币II,1000,,1080,,,,560,,,,,,,,,,,,,,,,,
十二周年白银纪念币,十二周年白银纪念币III,1000,,,,,,,40,40,,,,,,,,,,,,,,,
十二周年白银纪念币,套装属性,,4000,4000,,,600,600,,,30,30,,,,,,,,,,,,,
十二周年黄金纪念币,十二周年黄金纪念币I,3000,2000,1000,,,300,300,,,,,,,,,,,,,,,,,
十二周年黄金纪念币,十二周年黄金纪念币II,5000,8000,4000,,,820,820,,,,,,,,,,,,,,,,,
十二周年黄金纪念币,十二周年黄金纪念币III,10000,13200,4000,,,1320,1320,,,,,,,,,,,,,,,,,
十二周年黄金纪念币,十二周年黄金纪念币IV,30000,,,,,4000,4000,,,,,,1,,,,,,,,,,,
十二周年黄金纪念币,套装属性,,20000,20000,100,100,,80,80,,80,80,,,,,,,,,,,,,
恒星之主纪念币,恒星之主纪念币,88888,8000,4000,,,88,888,,,,,,,,,,,,,,,,,
